reciept_no,tran_date,fund_code,fund_subcode,customer_id,amount,fund_name,fund_subname,customer_type,gender,birthday,age,flag_member,YYYY
580000702,2014-12-18,10,560000002,P0001,500,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุน โครงการถวายภัตตาหารเพล,บุคคลธรรมดา,หญิง,1966-08-22,57,yes,2014
610000373,2017-10-11,10,600000001,P0001,598,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุนบริจาคครบรอบ 30 ปีแห่งการสถาปนา รพ.ธ,บุคคลธรรมดา,หญิง,1966-08-22,57,yes,2017
610005548,2018-3-15,10,600000001,P0001,299,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุนบริจาคครบรอบ 30 ปีแห่งการสถาปนา รพ.ธ,บุคคลธรรมดา,หญิง,1966-08-22,57,yes,2018
620007105,2019-7-12,10,600000001,P0001,299,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุนบริจาคครบรอบ 30 ปีแห่งการสถาปนา รพ.ธ,บุคคลธรรมดา,หญิง,1966-08-22,57,yes,2019
660003460,2023-1-10,10,650000011,P0001,10000,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุนครบรอบ 36 ปีแห่งการสถาปนา รพธ.(เพื่ออุปกรณ์การแพทย์),บุคคลธรรมดา,หญิง,1966-08-22,57,yes,2023
610001202,2017-11-30,50,560000037,P0002,3000,กองทุนบริจาคสะสมเพื่อโรงพยาบาล,กองทุน ร.ต. วงศ์ - นาง ทัพ จันทร์ปลั่ง,บุคคลธรรมดา,หญิง,1963-11-11,60,yes,2017
630001790,2019-12-9,50,560000037,P0002,3000,กองทุนบริจาคสะสมเพื่อโรงพยาบาล,กองทุน ร.ต. วงศ์ - นาง ทัพ จันทร์ปลั่ง,บุคคลธรรมดา,หญิง,1963-11-11,60,yes,2019
630002204,2019-12-13,50,560000037,P0002,3000,กองทุนบริจาคสะสมเพื่อโรงพยาบาล,กองทุน ร.ต. วงศ์ - นาง ทัพ จันทร์ปลั่ง,บุคคลธรรมดา,หญิง,1963-11-11,60,yes,2019
640001646,2020-12-26,50,560000037,P0002,3000,กองทุนบริจาคสะสมเพื่อโรงพยาบาล,กองทุน ร.ต. วงศ์ - นาง ทัพ จันทร์ปลั่ง,บุคคลธรรมดา,หญิง,1963-11-11,60,yes,2020
650003311,2021-12-24,50,560000037,P0002,3000,กองทุนบริจาคสะสมเพื่อโรงพยาบาล,กองทุน ร.ต. วงศ์ - นาง ทัพ จันทร์ปลั่ง,บุคคลธรรมดา,หญิง,1963-11-11,60,yes,2021
640021860,2021-9-8,10,630000002,P0003,2000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์ (COVID 19),บุคคลธรรมดา,หญิง,,,no,2021
640022487,2021-9-25,10,630000002,P0003,2000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์ (COVID 19),บุคคลธรรมดา,หญิง,,,no,2021
650000782,2021-10-26,10,630000002,P0003,2000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์ (COVID 19),บุคคลธรรมดา,หญิง,,,no,2021
650004894,2022-2-2,10,10,P0003,2000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,,,no,2022
660000064,2022-10-3,10,10,P0003,2000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,,,no,2022
660000065,2022-10-3,10,10,P0003,2000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,,,no,2022
660000803,2022-10-26,10,10,P0003,2000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,,,no,2022
660002801,2022-12-26,10,650000011,P0003,2000,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุนครบรอบ 36 ปีแห่งการสถาปนา รพธ.(เพื่ออุปกรณ์การแพทย์),บุคคลธรรมดา,หญิง,,,no,2022
650007946,2022-5-25,10,10,P0003,2000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,,,no,2022
660001770,2022-11-26,10,10,P0003,2000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,,,no,2022
650008852,2022-6-28,10,10,P0003,2000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,,,no,2022
650006358,2022-3-30,10,10,P0003,2000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,,,no,2022
650007073,2022-4-25,10,10,P0003,2000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,,,no,2022
660005229,2023-2-27,10,10,P0003,2000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,,,no,2023
660003991,2023-1-26,10,650000011,P0003,2000,กองทุนบริจาคเพื่อการดำเนินงาน,กองทุนครบรอบ 36 ปีแห่งการสถาปนา รพธ.(เพื่ออุปกรณ์การแพทย์),บุคคลธรรมดา,หญิง,,,no,2023
660008262,2023-6-6,10,10,P0003,2000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,,,no,2023
660008895,2023-6-28,10,10,P0003,2000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,,,no,2023
660006163,2023-3-27,10,10,P0003,2000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,,,no,2023
660007049,2023-4-26,10,10,P0003,2000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,,,no,2023
630000978,2019-11-7,10,10,P0004,1000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,,,no,2019
630020735,2020-9-24,10,10,P0004,1000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,,,no,2020
640000529,2020-11-4,10,10,P0004,1000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,,,no,2020
630019491,2020-8-17,10,630000002,P0004,1000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์ (COVID 19),บุคคลธรรมดา,หญิง,,,no,2020
650001256,2021-11-3,10,630000002,P0004,1000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์ (COVID 19),บุคคลธรรมดา,หญิง,,,no,2021
640003330,2021-3-3,10,10,P0004,1000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,,,no,2021
650011118,2022-9-13,10,10,P0004,1000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,,,no,2022
660001266,2022-11-8,10,10,P0004,1000,กองทุนบริจาคเพื่อการดำเนินงาน,เพื่ออุปกรณ์การแพทย์,บุคคลธรรมดา,หญิง,,,no,2022
